log_file	tool_version_line	command
outputs/denovo_master/admixture/populations.log	populations v2.60, executed 2022-05-05 15:15:31 (zlib-1.2.11	populations -P . -M /home/dsalvi/LIZARD/raffonei_siculus/analysis/data/popmaps/all_samples_phenotype -r 0.5 -p 5 --write-single-snp --min-mac 2 -O ./admixture -t 8 --genepop --vcf --plink
outputs/denovo_master/denovo_map.log	denovo_map.pl version 2.60 started at 2022-05-02 14:20:58	/home/dsalvi/programs/stacks-2.60/bin/denovo_map.pl --samples /home/dsalvi/LIZARD/raffonei_siculus/analysis/outputs/samples/ --popmap /home/dsalvi/LIZARD/raffonei_siculus/analysis/data/popmaps/samples_simple --paired -o . -M 2 -n 2 -T 32
outputs/denovo_master/genetic_diversity_2015_2017/raffonei_2015/populations.log	populations v2.60, executed 2022-08-17 17:54:24 (zlib-1.2.11	populations -P . -M ../../data/popmaps/2015_raffonei --min-mac 2 --out ./genetic_diversity_2015_2017/ --vcf
outputs/denovo_master/genetic_diversity_2015_2017/raffonei_2017_1/populations.log	populations v2.60, executed 2022-08-17 18:53:04 (zlib-1.2.11	populations -P . -M ../../data/popmaps/genetic_diversity_subsamples/2017_raffonei_1 --min-mac 2 --out ./genetic_diversity_2015_2017/raffonei_2017_1/ --vcf -r 0.5
outputs/denovo_master/genetic_diversity_2015_2017/raffonei_2017_2/populations.log	populations v2.60, executed 2022-08-17 18:03:17 (zlib-1.2.11	populations -P . -M ../../data/popmaps/genetic_diversity_subsamples/2017_raffonei_2 --min-mac 2 --out ./genetic_diversity_2015_2017/raffonei_2017_2/ --vcf
outputs/denovo_master/genetic_diversity_2015_2017/raffonei_2017_3/populations.log	populations v2.60, executed 2022-08-17 18:05:04 (zlib-1.2.11	populations -P . -M ../../data/popmaps/genetic_diversity_subsamples/2017_raffonei_3 --min-mac 2 --out ./genetic_diversity_2015_2017/raffonei_2017_3/ --vcf
outputs/denovo_master/genetic_diversity_2015_2017/raffonei_2017_4/populations.log	populations v2.60, executed 2022-08-17 18:17:46 (zlib-1.2.11	populations -P . -M ../../data/popmaps/genetic_diversity_subsamples/2017_raffonei_4 --min-mac 2 --out ./genetic_diversity_2015_2017/raffonei_2017_4 --vcf
outputs/denovo_master/genetic_diversity_2015_2017/raffonei_2017_5/populations.log	populations v2.60, executed 2022-08-17 18:31:58 (zlib-1.2.11	populations -P . -M ../../data/popmaps/genetic_diversity_subsamples/2017_raffonei_5 --min-mac 2 --out ./genetic_diversity_2015_2017/raffonei_2017_5 --vcf
outputs/denovo_master/genetic_diversity_2015_2017/raffonei_2017_6/populations.log	populations v2.60, executed 2022-08-17 18:34:19 (zlib-1.2.11	populations -P . -M ../../data/popmaps/genetic_diversity_subsamples/2017_raffonei_6 --min-mac 2 --out ./genetic_diversity_2015_2017/raffonei_2017_6 --vcf
outputs/denovo_master/gstacks.log	gstacks v2.60, executed 2022-06-15 16:46:05 (zlib-1.2.11)	gstacks -P . -M ../../data/popmaps/samples_simple -t 64
